Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
爆薬,ばくやく,bakuyaku,danh từ,chất nổ,,explosive; blasting powder,
番,ばん,ban,danh từ,con số; số; đánh số; đếm,,number (in a series),
盤,ばん,ban,danh từ,ban; đi; kỉ lục; hồ sơ,,"board (in shogi, go, chess, etc.)",
バナナ,,banana,danh từ,chuối,,banana,
発条,ばね,bane,danh từ,xuân; lò xo; mùa xuân; tuyền,,spring (device),
バニラ,,banira,danh từ,va ni,,vanilla,
万事,ばんじ,banji,danh từ,tất cả; vạn sự; thảy thảy; toàn bộ,,all; everything,
バンカー,,banka,danh từ,boong-ke,,bunker,
万国,ばんこく,bankoku,danh từ,năm châu bốn bể; phổ quát; hoàn cầu; phổ thông,,all countries; the whole world; universal,
バンク,,banku,danh từ,bờ bến; nhà băng; ngân hàng; bãi,,bank (financial institution),
バンス,,bansu,danh từ,tiến; tiến lên; xuất; tấn tới,,advance (payment),
番手,ばんて,bante,danh từ,bá tước; số; đếm; thống kê,,(yarn) count,
万全,ばんぜん,banzen,danh từ,chí thiện,,perfection; flawlessness,
番付,ばんづけ,banzuke,danh từ,chương trình; lập trình; lồng tiếng; tài trợ,,"ranked list (entertainers, sumo wrestlers, millionaires, etc.)",
抜本的,ばっぽんてき,bapponteki,tính từ na,quyết liệt; cấp tiến,,drastic; radical,
薔薇,ばら,bara,danh từ,hoa hồng; mai khôi; hồng,,rose,
薔薇薔薇,バラバラ,barabara,động từ,lay phay; lác đác; rải rác; phân tán,,scattered; disperse; loose,
バラエティ,,baraeti,danh từ,chủng loại,,variety,
バラ色,バラいろ,barairo,danh từ,sáng sủa; xán lạn; au; rực,,rose-colour; rose-color,
バラック,,barakku,danh từ,chòi; nhà lá; lán; lều,,shack; shanty; hut,
ばら撒く,ばらまく,baramaku,động từ,rải; tan tác; phân tán; phát tán,,to scatter; to disseminate (e.g. a rumor); to spread (e.g. germs),
ばらす,,barasu,động từ,banh; phanh phui; phơi bày; vạch trần,,to expose (a secret); to disclose; to reveal,
バレー,,bare,danh từ,bóng chuyền,,volleyball,
バレーボール,,bareboru,danh từ,bóng chuyền,,volleyball,
バレエ,,baree,danh từ,ba lê; vũ kịch,,ballet,
ばれる,,bareru,động từ,lộ; xì; tòi; lộ tẩy,,"to leak out (of a secret); to come out; to be exposed (of a lie, improper behaviour, etc.)",
バレル,,bareru,danh từ,tô nô; thùng,,barrel,
バリア,,baria,danh từ,chắn; rào cản; chiến luỹ; chướng ngại,,barrier; protective wall; bulwark,
ばりばり,,baribari,trạng từ,tuồng,,"vigorously (ripping, tearing, scratching, etc.); roughly; with a rip",
バリエーション,,barieshon,danh từ,biến dị; biến thiên,,variation,
バリケード,,barikedo,danh từ,chiến luỹ,,barricade,
馬力,ばりき,bariki,danh từ,mã lực; hoạt lực; tinh lực; khí thế,,horsepower; hp,
バリウム,,bariumu,danh từ,bari,,barium (Ba),
バロメーター,,barometa,danh từ,khí áp kế; áp kế; đo lường; chỉ số,,barometer (instrument),
バール,,baru,danh từ,xà beng; thỏi; then; quán rượu,,crowbar,
バルブ,,barubu,danh từ,van,,valve,
バルコニー,,barukoni,danh từ,ban công; bao lơn,,balcony,
バルーン,,barun,danh từ,bóng bay; bong bóng,,balloon,
馬車,ばしゃ,basha,danh từ,cỗ xe; xe khách; xe đò; huấn luyện,,coach (horse-drawn); carriage; wagon,
伐採,ばっさい,bassai,động từ,ngượng,,felling timber; cutting down trees; logging,
罰則,ばっそく,bassoku,danh từ,hình phạt; tiền phạt; vạ,,punishment; penalty,
抜粋,ばっすい,bassui,động từ,chiết; khêu; trích; nhể,,extract; excerpt; selection,
バースデー,,basude,danh từ,sinh nhật,,birthday,
バスケット,,basuketto,danh từ,rổ; sọt; bịch; bóng rổ,,basket,
バスケットボール,,basukettoboru,danh từ,bóng rổ,,basketball,
バスルーム,,basurumu,danh từ,buồng tắm; nhà vệ sinh; phòng tắm; cầu tiêu,,bathroom,
バス停,バスてい,basutei,danh từ,trạm xe buýt,,bus stop,
バスト,,basuto,danh từ,bán thân; nương long; ngực; tâm hồn,,bust (measurement),
バースト,,basuto,động từ,vỡ tan; bung; nổ,,"burst (tire, pipe, etc.); rupture; blowout",
バーター,,bata,danh từ,đổi chác,,barter,
バタバタ,,batabata,động từ,rì rào; lốp cốp; rinh,,flapping; rattling; fluttering,
バタフライ,,batafurai,danh từ,bươm bướm; bướm; hồ điệp; điệp,,butterfly (swimming stroke),
バタン,,batan,trạng từ,choảng; thình; rầm; đùng,,bang; slam; thud,
閥,ばつ,batsu,danh từ,đảng phái; bộ tộc; hệ phái; dòng họ,,clique; clan; faction,
抜群,ばつぐん,batsugun,tính từ,xuất chúng; cừ khôi; lỗi lạc; xuất sắc,,outstanding; excellent; exceptional,
バウンド,,baundo,động từ,dội; nảy; nhồi; giới hạn,,bounce; bound,
ベアリング,,bearingu,danh từ,dáng bộ; phong cách; phương diện; dáng điệu,,bearing,
ベビー,,bebi,danh từ,em bé; hài nhi; bé bi; cục cưng,,baby,
ベビーカー,,bebika,danh từ,xe đẩy; xe lôi,,stroller; buggy; pushchair,
米国,べいこく,beikoku,danh từ,châu Mĩ; choa; chúng tao; nhà quân,,(United States of) America; USA; US,
米穀,べいこく,beikoku,danh từ,lúa; cánh,,rice,
ベージュ,,beju,danh từ,be,,beige,
ベーカリー,,bekari,danh từ,lò bánh mì,,bakery,
可き,べき,beki,trợ từ,nên; phải; tua; được,,should; must; ought to,
別館,べっかん,bekkan,danh từ,thôn tính; đuôi; tiện ích,,annex (to a building); annexe; extension,
別個,べっこ,bekko,tính từ,bất đồng; riêng rẽ; khác; riêng lẻ,,another; different; separate,
ベーコン,,bekon,danh từ,thịt lợn muối xông khói,,bacon,
ベクター,,bekuta,danh từ,vectơ,,vector,
ベクトル,,bekutoru,danh từ,vectơ; phương; hướng; phương hướng,,vector,
弁,べん,ben,danh từ,diễn văn; ngôn luận; lời nói; ngôn từ,,speech; tongue; talk,
ベンチャー,,bencha,danh từ,viễn chinh,,venture,
ベネフィット,,benefitto,danh từ,lợi ích; ích; ích lợi; lợi,,benefit,
勉学,べんがく,bengaku,động từ,học; học tập; ăn học; tìm hiểu,,study; pursuit of knowledge,
弁護人,べんごにん,bengonin,danh từ,chỉ giáo; cố vấn; tham vấn; dạy bảo,,counsel; defender; advocate,
弁護士,べんごし,bengoshi,danh từ,luật sư; thầy cãi,,lawyer; attorney,
ベンジン,,benjin,danh từ,xăng; ét-xăng; dầu xăng,,gasoline; petrol,
弁明,べんめい,benmei,động từ,cớ; lí do,,explanation; excuse; clarification,
便秘,べんぴ,benpi,động từ,táo,,constipation,
弁舌,べんぜつ,benzetsu,danh từ,ngôn luận; lời nói; ngôn từ; tiếng nói,,speech; eloquence; manner of speaking,
ベランダ,,beranda,danh từ,ban công; bao lơn; hiên; thềm,,balcony,
ベレー,,bere,danh từ,mũ bê-rê; mũ nồi,,beret,
ベロ,,bero,danh từ,lưỡi,,tongue,
ベール,,beru,danh từ,voan; mạng,,veil,
ベルトコンベア,,berutokonbea,danh từ,băng tải,,conveyor belt; belt conveyor,
ベーシック,,beshikku,tính từ na,căn bản; cơ bản; sơ cấp; đạm bạc,,basic,
別冊,べっさつ,bessatsu,danh từ,phụ trương; bổ sung; phụ trội; bồi bổ,,separate volume; extra issue; supplement,
ベター,,beta,tính từ na,chẳng thà; cải thiện; hơn,,better; preferable,
ベタベタ,,betabeta,động từ,dính; nặng nề,,sticky,
別人,べつじん,betsujin,danh từ,ai,,different person; another person; someone else,
別名,べつめい,betsumei,danh từ,bút hiệu; bí danh; biệt hiệu; tên chữ,,another name; different name; synonym,
別棟,べつむね,betsumune,danh từ,cầu tiêu,,separate building; outbuilding; outhouse,
別途,べっと,betto,tính từ,riêng biệt; riêng rẽ; riêng lẻ; đơn lẻ,,separate; special; another,
ビア,,bia,danh từ,bia,,beer,
ビーバー,,biba,danh từ,hải li,,beaver,
ビビッド,,bibiddo,tính từ na,sinh động; full HD không che; choé,,vivid,
美貌,びぼう,bibou,danh từ,nhan sắc; mĩ; sắc đẹp; mĩ nhân,,beautiful face; good looks; beauty,
ビーチ,,bichi,danh từ,bãi biển; luỵ,,beach,
備蓄,びちく,bichiku,động từ,tích trữ; trừ bị; chất chứa; dự trữ,,stocking up (in case of emergency); stockpile; reserves,
ビーチサンダル,,bichisandaru,danh từ,dép,,beach sandals; flip-flops; thongs,
ビー玉,ビーだま,bidama,danh từ,cẩm thạch; đá hoa; bi; bi ve,,marble; glass marble,
微動,びどう,bidou,động từ,ghê,,slight movement; slight tremor; quiver,
ビーフ,,bifu,danh từ,bò né,,beef,
美学,びがく,bigaku,danh từ,mĩ học; thẩm mĩ,,esthetics; aesthetics,
ビッグ,,biggu,tính từ na,lớn; chang bang; cồ cộ; nậy,,big,
ビジネスマン,,bijinesuman,danh từ,thương nhân; thương,,businessman,
ビジネスライク,,bijinesuraiku,tính từ na,chuyên nghiệp; nhà nghề,,businesslike; professional,
ビジター,,bijita,danh từ,khách,,visitor,
美女,びじょ,bijo,danh từ,hồng nhan; tiên nga; giai nhân; hồng quần,,beautiful woman,
ビジョン,,bijon,danh từ,tầm nhìn; thị giác; thị lực,,vision,
ビジュアル,,bijuaru,tính từ na,thị giác,,visual,
ビキニ,,bikini,danh từ,áo tắm hai mảnh,,bikini (swimwear),
吃驚,びっくり,bikkuri,động từ,ngạc nhiên; kinh ngạc; ngớp; nhảy,,to be surprised; to be amazed; to be frightened,
備考,びこう,bikou,danh từ,ghi chú; nốt; chú thích; nhận xét,,note (for reference); remarks; N.B.,
尾行,びこう,bikou,động từ,bóng dáng; bóng; sao Vĩ; đuôi,,shadow; tail; following,
びくびく,,bikubiku,động từ,bò cạp,,being afraid of; being fearful; being timid,
ビクトリー,,bikutori,danh từ,thắng lợi; chiến thắng; thắng,,victory,
ビーム,,bimu,danh từ,rầm; đà; rọi,,beam,
貧乏人,びんぼうにん,binbounin,danh từ,nghèo; nghèo nàn; tồi; đói nghèo,,poor person; the poor,
敏速,びんそく,binsoku,tính từ na,động tĩnh; hoạt động; nghề của nàng; nghề của chàng,,quickness; agility; activity,
敏腕,びんわん,binwan,danh từ,tài cán; thân thủ; bản lĩnh; khả năng,,ability; capability; competence,
ビーンズ,,binzu,danh từ,rang,,beans,
ビラ,,bira,danh từ,biệt thự,,villa; holiday house,
ビレッジ,,birejji,danh từ,thôn; làng,,village,
ビリビリ,,biribiri,trạng từ,miếng; mảng; mánh; kịch nói,,(tear) to pieces; (rip) apart; (rip) up,
ビリヤード,,biriyado,danh từ,bi-a; bàu; bể; hùn,,billiards; pool; snooker,
ビルボード,,birubodo,danh từ,pa-nô,,billboard,
微細,びさい,bisai,tính từ na,tỉ mỉ; bé tí; phút; sắc sảo,,minute; fine; detailed,
微生物,びせいぶつ,biseibutsu,danh từ,vi trùng; khuẩn; vi sinh vật; mộng,,microbe; germ,
びしょびしょ,,bishobisho,tính từ,bê bết; ướt sũng; ướt; dầm dề,,soaked; drenched; sopping,
びしょ濡れ,びしょぬれ,bishonure,tính từ,đầm; bê bết; dầm dề,,sopping wet; dripping wet; sodden,
微小,びしょう,bishou,tính từ na,vi mô,,microscopic,
びっしり,,bisshiri,trạng từ,chặt chẽ; khư khư; chịt; găng,,"closely (packed, lined up, etc.); tightly; densely",
ビス,,bisu,danh từ,vít; ốc vít; quỷ tha ma bắt,,screw,
ビスケット,,bisuketto,danh từ,bánh quy; bích quy,,cookie; biscuit,
ビースト,,bisuto,danh từ,quái thú,,beast,
美点,びてん,biten,danh từ,đức; đức hạnh; đức tính; phẩm chất,,virtue; charm; merit,
ビット,,bitto,danh từ,bit; chút ít; chút đỉnh; mẩu,,bit,
美容院,びよういん,biyouin,danh từ,thẩm mĩ viện; xa-lông,,beauty parlour; beauty parlor; beauty salon,
ビザ,,biza,danh từ,chiếu khán; chiếu nhận; thị thực; thị thực nhập cảnh,,visa,
ビーズ,,bizu,danh từ,cườm,,beads,
ボー,,bo,danh từ,giàng; nơ; nơ bướm; vĩ,,bow (weapon),
ボブ,,bobu,danh từ,bồng bềnh,,bob (haircut),
坊ちゃん,ぼっちゃん,bocchan,danh từ,con trai; thứ nam; nốt chu sa; con,,(another's) son; boy; young master,
ボーダー,,boda,danh từ,vỉa; biên cảnh; biên thuỳ; lằn ranh,,border; boundary,
ボディー,,bodi,danh từ,mình vóc; mẩy; thân bài; thân hình,,body,
ボディコン,,bodikon,tính từ,chẹt,,body-conscious (look); tight-fitting (clothing),
ボード,,bodo,danh từ,ban; đi,,board,
ボーイフレンド,,boifurendo,danh từ,bạn trai; bồ; đá,,boyfriend; male friend,
母音,ぼいん,boin,danh từ,nguyên âm; mẫu âm,,vowel,
ボイス,,boisu,danh từ,giọng nói; tiếng; giọng; thể,,voice,
ボーカル,,bokaru,danh từ,giọng; giọng ca; ca sĩ,,vocal (performance); vocals; singing,
暈す,ぼかす,bokasu,động từ,che mờ; mờ mịt; tối nghĩa; bất minh,,to blur; to shade off; to gradate,
惚け,ぼけ,boke,danh từ,thánh; chó chết; bịp; loè,,fool; idiot,
墓穴,ぼけつ,boketsu,danh từ,huyệt; phần mộ; mồ; mộ,,grave (pit),
ボックス,,bokkusu,danh từ,bao; công-te-nơ; bình; hố,,box; container; bin,
母国語,ぼこくご,bokokugo,danh từ,bản ngữ; tiếng mẹ đẻ,,language of one's country; mother tongue; native language,
撲滅,ぼくめつ,bokumetsu,động từ,địch hoạ,,eradication; extermination; destruction,
僕ら,ぼくら,bokura,đại từ,choa; chúng tao; nhà quân; ta,,we; us,
ボクサー,,bokusa,danh từ,võ sĩ,,boxer (fighter),
ボクシング,,bokushingu,danh từ,quyền Anh; đấm bốc; bốc,,boxing,
牧草,ぼくそう,bokusou,danh từ,cỏ,,pasture; grass,
僕たち,ぼくたち,bokutachi,đại từ,choa; chúng tao; nhà quân; ta,,we,
ボン,,bon,danh từ,lương dân; giỏi; ngoan; hảo,,good,
ボーン,,bon,danh từ,xương; xương xẩu,,bone,
凡,ぼん,bon,tính từ na,thông thường; thường; tầm thường; bình thường,,ordinary; common; mediocre,
ボンド,,bondo,danh từ,trái phiếu; giềng; bông; keo,,bond,
凡人,ぼんじん,bonjin,danh từ,phàm phu,,ordinary person; average person; mediocre person,
ボンネット,,bonnetto,danh từ,capo; mui; mang,,bonnet; (car) hood,
煩悩,ぼんのう,bonnou,danh từ,phiền não,,worldly desires; evil passions; appetites of the flesh,
凡庸,ぼんよう,bonyou,tính từ na,tầm thường; xoàng; nhàm chán; tồi,,mediocre; ordinary; commonplace,
ボランティア,,borantia,danh từ,quân tình nguyện; thiện nguyện viên; tình nguyện viên; chí nguyện,,volunteer,
ボロボロ,,boroboro,tính từ,rách rưới; manh; tả; kiệt sức,,worn-out; ragged; tattered,
ボールド,,borudo,danh từ,ngang nhiên; táo bạo; đậm nét; bạo,,bold,
ボルテージ,,boruteji,danh từ,điện áp; hứng,,voltage,
ボリューム,,boryumu,danh từ,thể tích; âm lượng; tập; số lượng,,volume (sound level),
菩薩,ぼさつ,bosatsu,danh từ,bồ tát,,bodhisattva; one who has reached enlightenment but vows to save all beings before becoming a buddha,
墓石,ぼせき,boseki,danh từ,mộ chí; bia,,tombstone; gravestone,
母子,ぼし,boshi,danh từ,mẹ con,,mother and child,
ボス,,bosu,danh từ,chủ; ông chủ; trưởng; sếp,,boss; leader; head,
母体,ぼたい,botai,danh từ,cơ sở; cơ sở hạ tầng; căn cứ; cơ số,,mother's body (esp. when pregnant or after giving birth),
母胎,ぼたい,botai,danh từ,dạ con; tử cung; bọc; bào,,womb; uterus,
釦,ボタン,botan,danh từ,nút bấm; khuy; cúc; nút,,button (clothing),
ボトム,,botomu,danh từ,thụ; cuối,,bottom,
ボートピープル,,botopipuru,danh từ,thuyền nhân,,boat people (esp. from Vietnam); boat refugees; refugees fleeing by boat,
ボトル,,botoru,danh từ,chai,,bottle,
没,ぼつ,botsu,danh từ,chết chóc; chí chết; chí tử,,death,
